Date,BRD.RO,DIGI.RO,FP.RO,M.RO,SFG.RO,SNG.RO,SNP.RO,TGN.RO,TLV.RO,WINE.RO
2001-09-20 00:00:00+00:00,39843.96484375,,,,,,161.9759979248047,,,
2001-09-21 00:00:00+00:00,37364.78125,,,,,,150.6376953125,,,
2001-09-24 00:00:00+00:00,35416.859375,,,,,,144.4825897216797,,,
2001-09-25 00:00:00+00:00,37718.9453125,,,,,,148.0460662841797,,,
2001-09-26 00:00:00+00:00,37896.02734375,,,,,,145.7783966064453,,,
2001-09-27 00:00:00+00:00,37896.02734375,,,,,,147.3981475830078,,,
2001-09-28 00:00:00+00:00,37896.02734375,,,,,,147.3981475830078,,,
2001-10-01 00:00:00+00:00,37541.859375,,,,,,139.29937744140625,,,
2001-10-02 00:00:00+00:00,37896.02734375,,,,,,137.03173828125,,,
2001-10-03 00:00:00+00:00,37187.703125,,,,,,137.03173828125,,,
2001-10-04 00:00:00+00:00,37541.859375,,,,,,132.49639892578125,,,
2001-10-05 00:00:00+00:00,37896.02734375,,,,,,131.52450561523438,,,
2001-10-08 00:00:00+00:00,37541.859375,,,,,,136.3837890625,,,
2001-10-09 00:00:00+00:00,36656.4453125,,,,,,131.84848022460938,,,
2001-10-10 00:00:00+00:00,36125.1875,,,,,,132.1724090576172,,,
2001-10-11 00:00:00+00:00,35593.9375,,,,,,133.46823120117188,,,
2001-10-12 00:00:00+00:00,35062.68359375,,,,,,134.4400634765625,,,
2001-10-15 00:00:00+00:00,32937.6796875,,,,,,132.82032775878906,,,
2001-10-16 00:00:00+00:00,32937.6796875,,,,,,132.82032775878906,,,
2001-10-17 00:00:00+00:00,35062.68359375,,,,,,132.82032775878906,,,
2001-10-18 00:00:00+00:00,36125.1875,,,,,,134.4400634765625,,,
2001-10-19 00:00:00+00:00,37010.6171875,,,,,,136.70774841308594,,,
2001-10-22 00:00:00+00:00,36479.359375,,,,,,142.5388946533203,,,
2001-10-23 00:00:00+00:00,37541.859375,,,,,,145.7783966064453,,,
2001-10-24 00:00:00+00:00,37010.6171875,,,,,,145.13052368164062,,,
2001-10-25 00:00:00+00:00,36833.53515625,,,,,,144.1586151123047,,,
2001-10-26 00:00:00+00:00,36833.53515625,,,,,,144.1586151123047,,,
2001-10-29 00:00:00+00:00,36656.4453125,,,,,,153.2292938232422,,,
2001-10-30 00:00:00+00:00,35948.10546875,,,,,,147.72213745117188,,,
2001-10-31 00:00:00+00:00,36302.26953125,,,,,,143.1868133544922,,,
2001-11-01 00:00:00+00:00,37364.78125,,,,,,142.86282348632812,,,
2001-11-02 00:00:00+00:00,37187.703125,,,,,,145.45443725585938,,,
2001-11-05 00:00:00+00:00,37010.6171875,,,,,,147.3981475830078,,,
